4: Kazalniki bolniškega staleža po spolu in gospodarskih dejavnostih (SKD), Slovenija, letno po spremenljivkah: Gospodarske dejavnosti po SKD, Kazalnik, Leto in Spol;;;
;;;
;;;Spol - SKUPAJ
Dejavnost - SKUPAJ;Izgubljeni koledarski dnevi na zaposlenega (IO);2010;15
Dejavnost - SKUPAJ;Izgubljeni koledarski dnevi na zaposlenega (IO);2011;15
Dejavnost - SKUPAJ;Izgubljeni koledarski dnevi na zaposlenega (IO);2012;15
Dejavnost - SKUPAJ;Izgubljeni koledarski dnevi na zaposlenega (IO);2013;15
Dejavnost - SKUPAJ;Izgubljeni koledarski dnevi na zaposlenega (IO);2014;14
Dejavnost - SKUPAJ;Izgubljeni koledarski dnevi na zaposlenega (IO);2015;15
Dejavnost - SKUPAJ;Izgubljeni koledarski dnevi na zaposlenega (IO);2016;15
Dejavnost - SKUPAJ;Izgubljeni koledarski dnevi na zaposlenega (IO);2017;15
Dejavnost - SKUPAJ;Izgubljeni koledarski dnevi na zaposlenega (IO);2018;17
A KMETIJSTVO IN LOV, GOZDARSTVO, RIBIŠTVO;Izgubljeni koledarski dnevi na zaposlenega (IO);2010;14
A KMETIJSTVO IN LOV, GOZDARSTVO, RIBIŠTVO;Izgubljeni koledarski dnevi na zaposlenega (IO);2011;13
A KMETIJSTVO IN LOV, GOZDARSTVO, RIBIŠTVO;Izgubljeni koledarski dnevi na zaposlenega (IO);2012;13
A KMETIJSTVO IN LOV, GOZDARSTVO, RIBIŠTVO;Izgubljeni koledarski dnevi na zaposlenega (IO);2013;14
A KMETIJSTVO IN LOV, GOZDARSTVO, RIBIŠTVO;Izgubljeni koledarski dnevi na zaposlenega (IO);2014;13
A KMETIJSTVO IN LOV, GOZDARSTVO, RIBIŠTVO;Izgubljeni koledarski dnevi na zaposlenega (IO);2015;13
A KMETIJSTVO IN LOV, GOZDARSTVO, RIBIŠTVO;Izgubljeni koledarski dnevi na zaposlenega (IO);2016;14
A KMETIJSTVO IN LOV, GOZDARSTVO, RIBIŠTVO;Izgubljeni koledarski dnevi na zaposlenega (IO);2017;15
A KMETIJSTVO IN LOV, GOZDARSTVO, RIBIŠTVO;Izgubljeni koledarski dnevi na zaposlenega (IO);2018;16
B RUDARSTVO;Izgubljeni koledarski dnevi na zaposlenega (IO);2010;20
B RUDARSTVO;Izgubljeni koledarski dnevi na zaposlenega (IO);2011;19
B RUDARSTVO;Izgubljeni koledarski dnevi na zaposlenega (IO);2012;20
B RUDARSTVO;Izgubljeni koledarski dnevi na zaposlenega (IO);2013;24
B RUDARSTVO;Izgubljeni koledarski dnevi na zaposlenega (IO);2014;21
B RUDARSTVO;Izgubljeni koledarski dnevi na zaposlenega (IO);2015;25
B RUDARSTVO;Izgubljeni koledarski dnevi na zaposlenega (IO);2016;24
B RUDARSTVO;Izgubljeni koledarski dnevi na zaposlenega (IO);2017;26
B RUDARSTVO;Izgubljeni koledarski dnevi na zaposlenega (IO);2018;23
C PREDELOVALNE DEJAVNOSTI;Izgubljeni koledarski dnevi na zaposlenega (IO);2010;18
C PREDELOVALNE DEJAVNOSTI;Izgubljeni koledarski dnevi na zaposlenega (IO);2011;17
C PREDELOVALNE DEJAVNOSTI;Izgubljeni koledarski dnevi na zaposlenega (IO);2012;17
C PREDELOVALNE DEJAVNOSTI;Izgubljeni koledarski dnevi na zaposlenega (IO);2013;17
C PREDELOVALNE DEJAVNOSTI;Izgubljeni koledarski dnevi na zaposlenega (IO);2014;16
C PREDELOVALNE DEJAVNOSTI;Izgubljeni koledarski dnevi na zaposlenega (IO);2015;16
C PREDELOVALNE DEJAVNOSTI;Izgubljeni koledarski dnevi na zaposlenega (IO);2016;16
C PREDELOVALNE DEJAVNOSTI;Izgubljeni koledarski dnevi na zaposlenega (IO);2017;17
C PREDELOVALNE DEJAVNOSTI;Izgubljeni koledarski dnevi na zaposlenega (IO);2018;18
D OSKRBA Z ELEKTRI?NO ENERGIJO, PLINOM IN PARO;Izgubljeni koledarski dnevi na zaposlenega (IO);2010;15
