7: Kazalniki bolniškega staleža po spolu in starosti, Slovenija, letno po spremenljivkah: Leto, Spol, Starost in Kazalnik;;;;;;;;
;;;;;;;;
;;;Primeri;Koledarski dnevi;Odstotek BS (% BS);Izgubljeni koledarski dnevi na zaposlenega (IO);Število primerov na 100 zaposlenih (IF);Povpre?no trajanje ene odsotnosti (R)
2000;Spol - SKUPAJ;Starost-SKUPAJ;754738;13487977;5;17;95;18
;;15 do 19 let;3933;40146;2;7;66;10
;;20 do 24 let;56672;774785;3;13;91;14
;;25 do 29 let;112913;1575288;4;14;102;14
;;30 do 34 let;141867;1863133;4;15;114;13
;;35 do 39 let;132661;1962049;4;15;100;15
;;40 do 44 let;114348;2145777;5;17;88;19
;;45 do 49 let;105344;2488926;6;20;86;24
;;50 do 54 let;65366;1837973;7;24;85;28
;;55 do 59 let;18542;672918;8;29;79;36
;;60 do 64 let;2361;111290;7;27;57;47
;;65 do 69 let;173;7860;5;17;37;45
;;70 in ve? let;66;1433;4;16;73;22
;;Neznano;492;6399;-;-;-;-
;Moški;Starost-SKUPAJ;332789;6555385;4;15;77;20
;;15 do 19 let;2648;26727;2;7;69;10
;;20 do 24 let;31550;397364;3;11;88;13
;;25 do 29 let;46547;648516;3;11;80;14
;;30 do 34 let;51977;730442;3;12;82;14
;;35 do 39 let;52066;883263;4;13;77;17
;;40 do 44 let;48705;979343;4;15;72;20
;;45 do 49 let;47174;1192422;5;18;72;25
;;50 do 54 let;35429;1044814;6;22;73;30
;;55 do 59 let;14196;537894;8;28;74;38
;;60 do 64 let;2113;102516;7;27;56;49
;;65 do 69 let;137;7357;5;18;33;54
;;70 in ve? let;41;1158;5;18;62;28
;;Neznano;206;3569;-;-;-;-
;Ženske;Starost-SKUPAJ;421949;6932592;5;19;118;16
;;15 do 19 let;1285;13419;2;6;60;10
;;20 do 24 let;25122;377421;4;14;96;15
;;25 do 29 let;66366;926772;5;18;125;14
;;30 do 34 let;89890;1132691;5;19;149;13
;;35 do 39 let;80595;1078786;5;17;125;13
;;40 do 44 let;65643;1166434;5;19;105;18
;;45 do 49 let;58170;1296504;6;23;103;22
;;50 do 54 let;29937;793159;8;28;106;27
;;55 do 59 let;4346;135024;9;32;102;31
;;60 do 64 let;248;8774;6;22;62;35
;;65 do 69 let;36;503;3;9;66;14
;;70 in ve? let;25;275;3;12;104;11
;;Neznano;286;2830;-;-;-;-
2001;Spol - SKUPAJ;Starost-SKUPAJ;740775;13332358;5;17;93;18
;;15 do 19 let;3270;32332;2;7;73;10
;;20 do 24 let;53228;741841;4;13;95;14
;;25 do 29 let;109528;1522258;4;14;99;14
;;30 do 34 let;136938;1800289;4;15;113;13
;;35 do 39 let;132939;1910635;4;14;100;14
;;40 do 44 let;111054;2085199;4;16;86;19
