;;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Starost-SKUPAJ;Primeri;754738;740775;731126;753580;762273;789929;695288;788895;739834;742342;729004;734523;723413;755475;739708;859615;839533;920812;990027
;Koledarski dnevi;13487977;13332358;13577551;13931303;14560366;14310821;13026763;14095263;13894657;13325384;12808242;12539064;12354286;11880378;11069174;11909927;12279198;13322969;14780930
;Odstotek BS (% BS);5;5;5;5;5;5;4;4;4;4;4;4;4;4;4;4;4;4;5
;Izgubljeni koledarski dnevi na zaposlenega (IO);17;17;17;18;18;17;15;16;16;15;15;15;15;15;14;15;15;15;17
;Število primerov na 100 zaposlenih (IF);95;93;92;95;93;95;82;90;83;85;85;87;90;95;91;105;99;106;110
;Povpre?no trajanje ene odsotnosti (R);18;18;19;19;19;18;19;18;19;18;18;17;17;16;15;14;15;15;15
15 do 19 let;Primeri;3933;3270;2523;2260;2469;2071;2010;2352;2032;1158;871;768;610;478;586;824;1051;1476;1783
;Koledarski dnevi;40146;32332;27044;25571;24957;20383;20290;24390;20105;11722;9416;6953;5776;4970;5685;7558;9306;13223;16525
;Odstotek BS (% BS);2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1
;Izgubljeni koledarski dnevi na zaposlenega (IO);7;7;7;7;7;6;6;6;6;6;5;4;4;4;3;4;4;5;5
;Število primerov na 100 zaposlenih (IF);66;73;66;65;73;65;56;60;58;57;50;47;42;37;35;43;46;52;53
;Povpre?no trajanje ene odsotnosti (R);10;10;11;11;10;10;10;10;10;10;11;9;10;10;10;9;9;9;9
20 do 24 let;Primeri;56672;53228;46340;44173;43796;39826;35657;41074;38393;31109;25622;24700;20551;17453;16230;18840;21904;27536;33099
;Koledarski dnevi;774785;741841;657569;626184;604350;513392;467097;514777;492381;403369;337126;313240;267425;209718;191080;212209;241182;301850;355616
;Odstotek BS (% BS);3;4;4;4;4;3;3;3;3;3;3;3;3;2;2;2;2;2;3
;Izgubljeni koledarski dnevi na zaposlenega (IO);13;13;13;13;13;12;11;11;10;10;10;10;10;9;8;8;8;9;9
;Število primerov na 100 zaposlenih (IF);91;95;91;93;95;91;82;87;81;80;73;78;75;73;66;71;74;80;84
;Povpre?no trajanje ene odsotnosti (R);14;14;14;14;14;13;13;13;13;13;13;13;13;12;12;11;11;11;11
25 do 29 let;Primeri;112913;109528;106040;108927;108195;106805;93840;106452;99787;95699;87739;84387;77300;76245;70437;77016;78366;83677;90469
;Koledarski dnevi;1575288;1522258;1551264;1593178;1576320;1466488;1364873;1468529;1367230;1271857;1153980;1101166;986527;914519;839608;873810;885696;895419;983707
;Odstotek BS (% BS);4;4;4;4;4;4;3;4;3;3;3;3;3;3;3;3;3;3;3
;Izgubljeni koledarski dnevi na zaposlenega (IO);14;14;14;15;14;13;12;13;12;12;11;12;11;11;10;11;11;11;11
;Število primerov na 100 zaposlenih (IF);102;99;97;101;98;97;85;94;86;90;87;89;88;92;86;94;93;99;105
;Povpre?no trajanje ene odsotnosti (R);14;14;15;15;15;14;15;14;14;13;13;13;13;12;12;11;11;11;11
30 do 34 let;Primeri;141867;136938;132952;138070;137997;143628;126644;147679;141023;147372;146300;148802;145142;148208;141598;156053;147267;155761;168525
;Koledarski dnevi;1863133;1800289;1775352;1834853;1843913;1810145;1714943;1879370;1864601;1818795;1737962;1717380;1644928;1572530;1455998;1497891;1483013;1506437;1616815
;Odstotek BS (% BS);4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;4;4;4;4
;Izgubljeni koledarski dnevi na zaposlenega (IO);15;15;15;16;15;15;13;14;14;14;13;13;13;13;12;13;13;13;14
;Število primerov na 100 zaposlenih (IF);114;113;112;116;113;115;99;112;103;109;110;114;117;124;121;136;129;137;146
;Povpre?no trajanje ene odsotnosti (R);13;13;13;13;13;13;14;13;13;12;12;12;11;11;10;10;10;10;10
35 do 39 let;Primeri;132661;132939;131418;135263;134439;137887;117081;134361;127453;133921;136046;143989;146190;159447;160522;186861;180052;193543;202134
;Koledarski dnevi;1962049;1910635;1929636;1951771;1963827;1877805;1629288;1804151;1714428;1673032;1648477;1648753;1657646;1655391;1558560;1702416;1686847;1767181;1896015
