;;Spol - SKUPAJ
Primeri;2000;754738
;2001;740775
;2002;731126
;2003;753580
;2004;762273
;2005;789929
;2006;695288
;2007;788895
;2008;739834
;2009;742342
;2010;729004
;2011;734523
;2012;723413
;2013;755475
;2014;739708
;2015;859615
;2016;839533
;2017;920812
;2018;990027
Koledarski dnevi;2000;13487977
;2001;13332358
;2002;13577551
;2003;13931303
;2004;14560366
;2005;14310821
;2006;13026763
;2007;14095263
;2008;13894657
;2009;13325384
;2010;12808242
;2011;12539064
;2012;12354286
;2013;11880378
;2014;11069174
;2015;11909927
;2016;12279198
;2017;13322969
;2018;14780930
Odstotek BS (% BS);2000;5
;2001;5
;2002;5
;2003;5
;2004;5
;2005;5
;2006;4
;2007;4
;2008;4
;2009;4
;2010;4
;2011;4
;2012;4
;2013;4
;2014;4
;2015;4
;2016;4
;2017;4
;2018;5
Izgubljeni koledarski dnevi na zaposlenega (IO);2000;17
;2001;17
;2002;17
;2003;18
;2004;18
;2005;17
;2006;15
;2007;16
;2008;16
;2009;15
;2010;15
;2011;15
;2012;15
;2013;15
;2014;14
;2015;15
;2016;15
;2017;15
;2018;17
Število primerov na 100 zaposlenih (IF);2000;95
;2001;93
;2002;92
;2003;95
;2004;93
;2005;95
;2006;82
;2007;90
;2008;83
;2009;85
;2010;85
;2011;87
;2012;90
;2013;95
;2014;91
;2015;105
;2016;99
;2017;106
;2018;110
Povpre?no trajanje ene odsotnosti (R);2000;18
;2001;18
;2002;19
;2003;19
;2004;19
;2005;18
;2006;19
;2007;18
;2008;19
;2009;18
;2010;18
;2011;17
;2012;17
;2013;16
;2014;15
;2015;14
;2016;15
;2017;15
;2018;15
